Sentence,Final Intent
बफ चाउमिनलाई कति तिर्नु पर्नी हो,बफ चाउमिन
बफ चाउमिन कतिमा पाइन्छ,बफ चाउमिन
बफ चाउमिनलाई कति पर्न जान्छ,बफ चाउमिन
बफ चाउमिन छ कि छैन,बफ चाउमिन
बफ चाउमिन छ कि नाइँ,बफ चाउमिन
बफ वाला चाउमिन पाइन्छ कि नाइँ,बफ चाउमिन
बफ वाला चाउमिन पाउछ कि पाउदैन,बफ चाउमिन
बफ चाउमिन बन्छ कि नाइँ,बफ चाउमिन
बफ चाउमिन बन्छ कि बन्दैन,बफ चाउमिन
बफ चाउमिन बनाउन मिल्छ कि नाइँ,बफ चाउमिन
बफ चाउमिन बनाउन मिल्छ कि मिल्दैन,बफ चाउमिन
बफ चाउमिन पाउला,बफ चाउमिन
कति पर्छ बफ चाउमिनलाइ,बफ चाउमिन
बफ चाउमिन कतिमा पाउछ होला,बफ चाउमिन
बफ चाउमिनलाइ कति पर्न जान्छ,बफ चाउमिन
कति पर्नी हो बफ चाउमिनलाइ,बफ चाउमिन
बफ चाउमिनको पैसा कति पर्छ,बफ चाउमिन
कति पैसा पर्नी हो बफ चाउमिनलाइ,बफ चाउमिन
बफ चाउमिनलाइ कति रुपैया पर्छ,बफ चाउमिन
बफ चाउमिन कति रुपैयामा आउछ,बफ चाउमिन
कति रुपैयामा हो बफ चाउमिनको,बफ चाउमिन
हुक्का छ कि छैन,हुक्का
हुक्का पाउछ,हुक्का
हुक्का बन्छ कि नाई,हुक्का
हुक्का बनाउन मिल्छ,हुक्का
हुक्का होला र,हुक्का
यहाँ हुक्का पाइन्छ र,हुक्का
कुन कुन फ्लेबरको हुक्का छ,हुक्का
कस्तो कस्तो फ्लेबरको हुक्का छ,हुक्का
फ्लेबर कुन कुन छ हुक्काको,हुक्का
हुक्कालाई कति पर्छ,हुक्का
कति हो हुक्कालाई,हुक्का
हुक्काको पैसा कति हो,हुक्का
हुक्का कतिमा पाइन्छ,हुक्का
कति समय लाग्छ हुक्का बन्न,हुक्का
कति कुर्नु पर्छ हुक्कालाई,हुक्का
हुक्का कति बेला रेडी हुन्छ,हुक्का
कति बेला तयार हुन्छ हुक्का,हुक्का
कति बेला सम्म कुर्नु पर्छ हुक्कालाई,हुक्का
हुक्का छ,हुक्का
हुक्का छ कि नाई,हुक्का
हुक्का पाउछ कि नाई,हुक्का
हुक्का पाउछ कि पाउदैन,हुक्का
हुक्का बनाउन मिल्छ कि मिल्दैन,हुक्का
हुक्का बनाउन मिल्छ कि नाई,हुक्का
हुक्का कुन कुन फ्लेबरको छ,हुक्का
हुक्का कस्तो कस्तो फ्लेबरको छ र,हुक्का
कति प्रकारको हुक्काको फ्लेबर पाइन्छ यहाँ,हुक्का
कति किसिमको हुक्काको फ्लेबर पाइन्छ यहाँ,हुक्का
हुक्काको फ्लेबरमा कुन छ,हुक्का
कति पर्छ हुक्कालाइ,हुक्का
हुक्का कतिमा पाउछ होला,हुक्का
हुक्कालाइ कति पर्न जान्छ,हुक्का
कति पर्नी हो हुक्कालाइ,हुक्का
हुक्काको पैसा कति पर्छ,हुक्का
कति पैसा पर्नी हो हुक्कालाइ,हुक्का
हुक्कालाइ कति रुपैया पर्छ,हुक्का
हुक्का कति रुपैयामा आउछ,हुक्का
कति रुपैयामा हो हुक्काको,हुक्का
बर्गर छ कि छैन,बर्गर
बर्गर पाउछ,बर्गर
बर्गर बन्छ कि नाई,बर्गर
बर्गर बनाउन मिल्छ,बर्गर
बर्गर सक्कियो कि नाई,बर्गर
बर्गर सक्केको हो र,बर्गर
बर्गर चाहिएको थियो पाउछ कि नाई,बर्गर
बर्गर होला,बर्गर
कति पर्छ बर्गरलाई,बर्गर
कति हो बर्गरको,बर्गर
बर्गरको पैसा कति हो,बर्गर
कति समय लाग्छ बर्गर बन्न,बर्गर
कति कुर्नु पर्छ बर्गरलाई,बर्गर
बर्गर कति बेला रेडी हुन्छ,बर्गर
कति बेला तयार हुन्छ बर्गर,बर्गर
कति बेला सम्म कुर्नु पर्छ बर्गरलाई,बर्गर
बर्गर छ,बर्गर
बर्गर छ कि नाई,बर्गर
बर्गर पाउछ कि नाई,बर्गर
बर्गर पाउछ कि पाउदैन,बर्गर
बर्गर बनाउन मिल्छ कि मिल्दैन,बर्गर
बर्गर बनाउन मिल्छ कि नाई,बर्गर
बर्गर सक्कियो र,बर्गर
बर्गरलाई कति तिर्नु पर्नी हो,बर्गर
बर्गर कतिमा पाइन्छ,बर्गर
बर्गरलाई कति हो,बर्गर
बर्गर कतिमा पाउछ होला,बर्गर
बर्गरलाइ कति पर्न जान्छ,बर्गर
कति पर्नी हो बर्गरलाइ,बर्गर
बर्गरको पैसा कति पर्छ,बर्गर
कति पैसा पर्नी हो बर्गरलाइ,बर्गर
बर्गरलाइ कति रुपैया पर्छ,बर्गर
बर्गर कति रुपैयामा आउछ,बर्गर
कति रुपैयामा हो बर्गरको,बर्गर
बर्गर बन्न कति समय लाग्छ,बर्गर
बर्गर बनाउन कति समय लाग्छ,बर्गर
कति समय लाग्छ बर्गर बन्न,बर्गर
कति बेला बर्गर रेडी हुन्छ,बर्गर
कति बेला सम्म कुर्न पर्नी हो हामीलाई बर्गरको लागि,बर्गर
कति बेला तयार हुन्छ बर्गर,बर्गर
बर्गर बनाएर कति बेला रेडी हुन्छ,बर्गर
बर्गर बनाएर कति बेला तयार हुन्छ,बर्गर
चिकेन लेगपीस छ कि छैन,चिकेन लेगपीस
चिकेन लेगपीस पाउछ,चिकेन लेगपीस
चिकेन लेगपीस बन्छ कि नाई,चिकेन लेगपीस
चिकेन लेगपीस बनाउन मिल्छ,चिकेन लेगपीस
चिकेन लेगपीस सक्कियो कि नाई,चिकेन लेगपीस
चिकेन लेगपीस सक्केको हो र,चिकेन लेगपीस
चिकेन लेगपीस चाहिएको थियो पाउछ कि नाई,चिकेन लेगपीस
चिकेन लेगपीस होला,चिकेन लेगपीस
कति पर्छ चिकेन लेगपीसलाई,चिकेन लेगपीस
कति हो चिकेन लेगपीसको,चिकेन लेगपीस
चिकेन लेगपीसको पैसा कति हो,चिकेन लेगपीस
कति समय लाग्छ चिकेन लेगपीस बन्न,चिकेन लेगपीस
कति कुर्नु पर्छ चिकेन लेगपीसलाई,चिकेन लेगपीस
चिकेन लेगपीस कति बेला रेडी हुन्छ,चिकेन लेगपीस
कति बेला तयार हुन्छ चिकेन लेगपीस,चिकेन लेगपीस
कति बेला सम्म कुर्नु पर्छ चिकेन लेगपीसलाई,चिकेन लेगपीस
चिकेन लेगपिस छ,चिकेन लेगपीस
चिकेन लेगपिस छ कि नाई,चिकेन लेगपीस
चिकेन लेगपिस पाउछ कि नाई,चिकेन लेगपीस
चिकेन लेगपिस पाउछ कि पाउदैन,चिकेन लेगपीस
चिकेन लेगपिस बनाउन मिल्छ कि मिल्दैन,चिकेन लेगपीस
चिकेन लेगपिस बनाउन मिल्छ कि नाई,चिकेन लेगपीस
चिकेन लेगपिस सक्कियो र,चिकेन लेगपीस
चिकेन लेगपिसलाई कति हो,चिकेन लेगपीस
चिकेन लेगपिसलाई कति तिर्नु पर्नी हो,चिकेन लेगपीस
चिकेन लेगपिस कतिमा पाइन्छ,चिकेन लेगपीस
चिकेन लेगपिसलाई कति पर्न जान्छ,चिकेन लेगपीस
चिकेन लेगपिस कतिमा पाउछ होला,चिकेन लेगपीस
चिकेन लेगपिसलाइ कति पर्न जान्छ,चिकेन लेगपीस
कति पर्नी हो चिकेन लेगपिसलाइ,चिकेन लेगपीस
चिकेन लेगपिसको पैसा कति पर्छ,चिकेन लेगपीस
कति पैसा पर्नी हो चिकेन लेगपिसलाइ,चिकेन लेगपीस
चिकेन लेगपिसलाइ कति रुपैया पर्छ,चिकेन लेगपीस
चिकेन लेगपिस कति रुपैयामा आउछ,चिकेन लेगपीस
कति रुपैयामा हो चिकेन लेगपिसको,चिकेन लेगपीस
चिकेन लेगपिस बन्न कति समय लाग्छ,चिकेन लेगपीस
चिकेन लेगपिस बनाउन कति समय लाग्छ,चिकेन लेगपीस
कति बेला चिकेन लेगपिस रेडी हुन्छ,चिकेन लेगपीस
कति बेला सम्म कुर्न पर्नी हो हामीलाई चिकेन लेगपिसको लागि,चिकेन लेगपीस
चिकेन लेगपिस बनाएर कति बेला रेडी हुन्छ,चिकेन लेगपीस
चिकेन लेगपिस बनाएर कति बेला तयार हुन्छ,चिकेन लेगपीस
चिकेन लेगपिसलाई कति समय लाग्छ,चिकेन लेगपीस
चिकेन लेगपिसलाई कति कुर्नु पर्छ,चिकेन लेगपीस
चिकेन लेगपिस कति बेला तयार हुन्छ,चिकेन लेगपीस
चिकेन लेगपिसलाई कति बेला सम्म कुर्नु पर्छ,चिकेन लेगपीस
चिकेन ललिपप छ कि छैन,चिकेन ललिपप
चिकेन ललिपप पाउछ,चिकेन ललिपप
चिकेन ललिपप बन्छ कि नाई,चिकेन ललिपप
चिकेन ललिपप बनाउन मिल्छ,चिकेन ललिपप
चिकेन ललिपप सक्कियो कि नाई,चिकेन ललिपप
चिकेन ललिपप सक्केको हो र,चिकेन ललिपप
चिकेन ललिपप चाहिएको थियो पाउछ कि नाई,चिकेन ललिपप
चिकेन ललिपप होला,चिकेन ललिपप
कति पर्छ चिकेन ललिपपलाई,चिकेन ललिपप
कति हो चिकेन ललिपपको,चिकेन ललिपप
चिकेन ललिपपको पैसा कति हो,चिकेन ललिपप
कति समय लाग्छ चिकेन ललिपप बन्न,चिकेन ललिपप
कति कुर्नु पर्छ चिकेन ललिपपलाई,चिकेन ललिपप
चिकेन ललिपप कति बेला रेडी हुन्छ,चिकेन ललिपप
कति बेला तयार हुन्छ चिकेन ललिपप,चिकेन ललिपप
कति बेला सम्म कुर्नु पर्छ चिकेन ललिपपलाई,चिकेन ललिपप
चिकेन ललिपप छ,चिकेन ललिपप
चिकेन ललिपप छ कि नाई,चिकेन ललिपप
चिकेन ललिपप पाउछ कि नाई,चिकेन ललिपप
चिकेन ललिपप पाउछ कि पाउदैन,चिकेन ललिपप
चिकेन ललिपप बनाउन मिल्छ कि मिल्दैन,चिकेन ललिपप
चिकेन ललिपप बनाउन मिल्छ कि नाई,चिकेन ललिपप
चिकेन ललिपप सक्कियो र,चिकेन ललिपप
चिकेन ललिपपलाई कति हो,चिकेन ललिपप
चिकेन ललिपपलाई कति तिर्नु पर्नी हो,चिकेन ललिपप
चिकेन ललिपप कतिमा पाइन्छ,चिकेन ललिपप
चिकेन ललिपपलाई कति पर्न जान्छ,चिकेन ललिपप
चिकेन ललिपप कतिमा पाउछ होला,चिकेन ललिपप
चिकेन ललिपपलाइ कति पर्न जान्छ,चिकेन ललिपप
कति पर्नी हो चिकेन ललिपपलाइ,चिकेन ललिपप
चिकेन ललिपपको पैसा कति पर्छ,चिकेन ललिपप
कति पैसा पर्नी हो चिकेन ललिपपलाइ,चिकेन ललिपप
चिकेन ललिपपलाइ कति रुपैया पर्छ,चिकेन ललिपप
चिकेन ललिपप कति रुपैयामा आउछ,चिकेन ललिपप
कति रुपैयामा हो चिकेन ललिपपको,चिकेन ललिपप
चिकेन ललिपप बन्न कति समय लाग्छ,चिकेन ललिपप
चिकेन ललिपप बनाउन कति समय लाग्छ,चिकेन ललिपप
कति बेला चिकेन ललिपप रेडी हुन्छ,चिकेन ललिपप
कति बेला सम्म कुर्न पर्नी हो हामीलाई चिकेन ललिपपको लागि,चिकेन ललिपप
चिकेन ललिपप बनाएर कति बेला रेडी हुन्छ,चिकेन ललिपप
चिकेन ललिपप बनाएर कति बेला तयार हुन्छ,चिकेन ललिपप
चिकेन ललिपपलाई कति समय लाग्छ,चिकेन ललिपप
चिकेन ललिपपलाई कति कुर्नु पर्छ,चिकेन ललिपप
चिकेन ललिपप कति बेला तयार हुन्छ,चिकेन ललिपप
चिकेन ललिपपलाई कति बेला सम्म कुर्नु पर्छ,चिकेन ललिपप
ससेज छ कि छैन,ससेज
ससेज पाउछ,ससेज
ससेज बन्छ कि नाई,ससेज
ससेज बनाउन मिल्छ,ससेज
ससेज सक्कियो कि नाई,ससेज
ससेज सक्केको हो र,ससेज
ससेज चाहिएको थियो पाउछ कि नाई,ससेज
ससेज होला,ससेज
कुन कुन ससेज छ,ससेज
कस्तो कस्तो ससेज छ,ससेज
कति किसिमको ससेज छ,ससेज
कति प्रकारको ससेज छ,ससेज
ससेज छ,ससेज
ससेज छ कि नाई,ससेज
ससेज पाउछ कि नाई,ससेज
ससेज पाउछ कि पाउदैन,ससेज
ससेज बनाउन मिल्छ कि मिल्दैन,ससेज
ससेज बनाउन मिल्छ कि नाई,ससेज
ससेज सक्कियो र,ससेज
ससेज कुन कुन छ,ससेज
ससेज कस्तो कस्तो छ र,ससेज
कति प्रकारको ससेज पाइन्छ यहाँ,ससेज
कति किसिमको ससेज पाइन्छ यहाँ,ससेज
ससेजमा कुन छ,ससेज
चिकेन ससेज छ कि छैन,चिकेन ससेज
चिकेन ससेज पाउछ,चिकेन ससेज
चिकेन ससेज बन्छ कि नाई,चिकेन ससेज
चिकेन ससेज बनाउन मिल्छ,चिकेन ससेज
चिकेन ससेज सक्कियो कि नाई,चिकेन ससेज
चिकेन ससेज सक्केको हो र,चिकेन ससेज
चिकेन ससेज चाहिएको थियो पाउछ कि नाई,चिकेन ससेज
चिकेन ससेज होला,चिकेन ससेज
कति पर्छ चिकेन ससेजलाई,चिकेन ससेज
कति हो चिकेन ससेजको,चिकेन ससेज
चिकेन ससेजको पैसा कति हो,चिकेन ससेज
कति समय लाग्छ चिकेन ससेज बन्न,चिकेन ससेज
कति कुर्नु पर्छ चिकेन ससेजलाई,चिकेन ससेज
चिकेन ससेज कति बेला रेडी हुन्छ,चिकेन ससेज
कति बेला तयार हुन्छ चिकेन ससेज,चिकेन ससेज
कति बेला सम्म कुर्नु पर्छ चिकेन ससेजलाई,चिकेन ससेज
चिकेन ससेज छ,चिकेन ससेज
चिकेन ससेज छ कि नाई,चिकेन ससेज
चिकेन ससेज पाउछ कि नाई,चिकेन ससेज
चिकेन ससेज पाउछ कि पाउदैन,चिकेन ससेज
चिकेन ससेज बनाउन मिल्छ कि मिल्दैन,चिकेन ससेज
चिकेन ससेज बनाउन मिल्छ कि नाई,चिकेन ससेज
चिकेन ससेज सक्कियो र,चिकेन ससेज
चिकेन ससेजलाई कति हो,चिकेन ससेज
चिकेन ससेजलाई कति तिर्नु पर्नी हो,चिकेन ससेज
चिकेन ससेज कतिमा पाइन्छ,चिकेन ससेज
चिकेन ससेजलाई कति पर्न जान्छ,चिकेन ससेज
चिकेन ससेज कतिमा पाउछ होला,चिकेन ससेज
चिकेन ससेजलाइ कति पर्न जान्छ,चिकेन ससेज
कति पर्नी हो चिकेन ससेजलाइ,चिकेन ससेज
चिकेन ससेजको पैसा कति पर्छ,चिकेन ससेज
कति पैसा पर्नी हो चिकेन ससेजलाइ,चिकेन ससेज
चिकेन ससेजलाइ कति रुपैया पर्छ,चिकेन ससेज
चिकेन ससेज कति रुपैयामा आउछ,चिकेन ससेज
कति रुपैयामा हो चिकेन ससेजको,चिकेन ससेज
चिकेन ससेज बन्न कति समय लाग्छ,चिकेन ससेज
चिकेन ससेज बनाउन कति समय लाग्छ,चिकेन ससेज
कति बेला चिकेन ससेज रेडी हुन्छ,चिकेन ससेज
कति बेला सम्म कुर्न पर्नी हो हामीलाई चिकेन ससेजको लागि,चिकेन ससेज
चिकेन ससेज बनाएर कति बेला रेडी हुन्छ,चिकेन ससेज
चिकेन ससेज बनाएर कति बेला तयार हुन्छ,चिकेन ससेज
चिकेन ससेजलाई कति समय लाग्छ,चिकेन ससेज
चिकेन ससेजलाई कति कुर्नु पर्छ,चिकेन ससेज
चिकेन ससेज कति बेला तयार हुन्छ,चिकेन ससेज
चिकेन ससेजलाई कति बेला सम्म कुर्नु पर्छ,चिकेन ससेज
बफ ससेज छ कि छैन,बफ ससेज
बफ ससेज पाउछ,बफ ससेज
बफ ससेज बन्छ कि नाई,बफ ससेज
बफ ससेज बनाउन मिल्छ,बफ ससेज
बफ ससेज सक्कियो कि नाई,बफ ससेज
बफ ससेज सक्केको हो र,बफ ससेज
बफ ससेज चाहिएको थियो पाउछ कि नाई,बफ ससेज
बफ ससेज होला,बफ ससेज
कति पर्छ बफ ससेजलाई,बफ ससेज
कति हो बफ ससेजको,बफ ससेज
बफ ससेजको पैसा कति हो,बफ ससेज
कति समय लाग्छ बफ ससेज बन्न,बफ ससेज
कति कुर्नु पर्छ बफ ससेजलाई,बफ ससेज
बफ ससेज कति बेला रेडी हुन्छ,बफ ससेज
कति बेला तयार हुन्छ बफ ससेज,बफ ससेज
कति बेला सम्म कुर्नु पर्छ बफ ससेजलाई,बफ ससेज
बफ ससेज छ,बफ ससेज
बफ ससेज छ कि नाई,बफ ससेज
बफ ससेज पाउछ कि नाई,बफ ससेज
बफ ससेज पाउछ कि पाउदैन,बफ ससेज
बफ ससेज बनाउन मिल्छ कि मिल्दैन,बफ ससेज
बफ ससेज बनाउन मिल्छ कि नाई,बफ ससेज
बफ ससेज सक्कियो र,बफ ससेज
बफ ससेजलाई कति हो,बफ ससेज
बफ ससेजलाई कति तिर्नु पर्नी हो,बफ ससेज
बफ ससेज कतिमा पाइन्छ,बफ ससेज
बफ ससेजलाई कति पर्न जान्छ,बफ ससेज
बफ ससेज कतिमा पाउछ होला,बफ ससेज
बफ ससेजलाइ कति पर्न जान्छ,बफ ससेज
कति पर्नी हो बफ ससेजलाइ,बफ ससेज
बफ ससेजको पैसा कति पर्छ,बफ ससेज
कति पैसा पर्नी हो बफ ससेजलाइ,बफ ससेज
बफ ससेजलाइ कति रुपैया पर्छ,बफ ससेज
बफ ससेज कति रुपैयामा आउछ,बफ ससेज
कति रुपैयामा हो बफ ससेजको,बफ ससेज
बफ ससेज बन्न कति समय लाग्छ,बफ ससेज
बफ ससेज बनाउन कति समय लाग्छ,बफ ससेज
कति बेला बफ ससेज रेडी हुन्छ,बफ ससेज
कति बेला सम्म कुर्न पर्नी हो हामीलाई बफ ससेजको लागि,बफ ससेज
बफ ससेज बनाएर कति बेला रेडी हुन्छ,बफ ससेज
बफ ससेज बनाएर कति बेला तयार हुन्छ,बफ ससेज
बफ ससेजलाई कति समय लाग्छ,बफ ससेज
बफ ससेजलाई कति कुर्नु पर्छ,बफ ससेज
बफ ससेज कति बेला तयार हुन्छ,बफ ससेज
बफ ससेजलाई कति बेला सम्म कुर्नु पर्छ,बफ ससेज
चिकेन चिल्ली छ कि छैन,चिकेन चिल्ली
चिकेन चिल्ली पाउछ,चिकेन चिल्ली
चिकेन चिल्ली बन्छ कि नाई,चिकेन चिल्ली
चिकेन चिल्ली बनाउन मिल्छ,चिकेन चिल्ली
चिकेन चिल्ली सक्कियो कि नाई,चिकेन चिल्ली
चिकेन चिल्ली सक्केको हो र,चिकेन चिल्ली
चिकेन चिल्ली चाहिएको थियो पाउछ कि नाई,चिकेन चिल्ली
चिकेन चिल्ली होला,चिकेन चिल्ली
कति पर्छ चिकेन चिल्लीलाई,चिकेन चिल्ली
कति हो चिकेन चिल्लीको,चिकेन चिल्ली
चिकेन चिल्लीको पैसा कति हो,चिकेन चिल्ली
कति समय लाग्छ चिकेन चिल्ली बन्न,चिकेन चिल्ली
कति कुर्नु पर्छ चिकेन चिल्लीलाई,चिकेन चिल्ली
चिकेन चिल्ली कति बेला रेडी हुन्छ,चिकेन चिल्ली
कति बेला तयार हुन्छ चिकेन चिल्ली,चिकेन चिल्ली
कति बेला सम्म कुर्नु पर्छ चिकेन चिल्लीलाई,चिकेन चिल्ली
चिकेन चिल्ली छ,चिकेन चिल्ली
चिकेन चिल्ली छ कि नाई,चिकेन चिल्ली
चिकेन चिल्ली पाउछ कि नाई,चिकेन चिल्ली
चिकेन चिल्ली पाउछ कि पाउदैन,चिकेन चिल्ली
चिकेन चिल्ली बनाउन मिल्छ कि मिल्दैन,चिकेन चिल्ली
चिकेन चिल्ली बनाउन मिल्छ कि नाई,चिकेन चिल्ली
चिकेन चिल्ली सक्कियो र,चिकेन चिल्ली
चिकेन चिल्लीलाई कति हो,चिकेन चिल्ली
चिकेन चिल्लीलाई कति तिर्नु पर्नी हो,चिकेन चिल्ली
चिकेन चिल्ली कतिमा पाइन्छ,चिकेन चिल्ली
चिकेन चिल्लीलाई कति पर्न जान्छ,चिकेन चिल्ली
चिकेन चिल्ली कतिमा पाउछ होला,चिकेन चिल्ली
चिकेन चिल्लीलाइ कति पर्न जान्छ,चिकेन चिल्ली
कति पर्नी हो चिकेन चिल्लीलाइ,चिकेन चिल्ली
चिकेन चिल्लीको पैसा कति पर्छ,चिकेन चिल्ली
कति पैसा पर्नी हो चिकेन चिल्लीलाइ,चिकेन चिल्ली
चिकेन चिल्लीलाइ कति रुपैया पर्छ,चिकेन चिल्ली
चिकेन चिल्ली कति रुपैयामा आउछ,चिकेन चिल्ली
कति रुपैयामा हो चिकेन चिल्लीको,चिकेन चिल्ली
चिकेन चिल्ली बन्न कति समय लाग्छ,चिकेन चिल्ली
चिकेन चिल्ली बनाउन कति समय लाग्छ,चिकेन चिल्ली
कति बेला चिकेन चिल्ली रेडी हुन्छ,चिकेन चिल्ली
कति बेला सम्म कुर्न पर्नी हो हामीलाई चिकेन चिल्लीको लागि,चिकेन चिल्ली
चिकेन चिल्ली बनाएर कति बेला रेडी हुन्छ,चिकेन चिल्ली
चिकेन चिल्ली बनाएर कति बेला तयार हुन्छ,चिकेन चिल्ली
चिकेन चिल्लीलाई कति समय लाग्छ,चिकेन चिल्ली
चिकेन चिल्लीलाई कति कुर्नु पर्छ,चिकेन चिल्ली
चिकेन चिल्ली कति बेला तयार हुन्छ,चिकेन चिल्ली
चिकेन चिल्लीलाई कति बेला सम्म कुर्नु पर्छ,चिकेन चिल्ली
बफ चिल्ली छ कि छैन,बफ चिल्ली
बफ चिल्ली पाउछ,बफ चिल्ली
बफ चिल्ली बन्छ कि नाई,बफ चिल्ली
बफ चिल्ली बनाउन मिल्छ,बफ चिल्ली
बफ चिल्ली सक्कियो कि नाई,बफ चिल्ली
बफ चिल्ली सक्केको हो र,बफ चिल्ली
बफ चिल्ली चाहिएको थियो पाउछ कि नाई,बफ चिल्ली
बफ चिल्ली होला,बफ चिल्ली
कति पर्छ बफ चिल्लीलाई,बफ चिल्ली
कति हो बफ चिल्लीको,बफ चिल्ली
बफ चिल्लीको पैसा कति हो,बफ चिल्ली
कति समय लाग्छ बफ चिल्ली बन्न,बफ चिल्ली
कति कुर्नु पर्छ बफ चिल्लीलाई,बफ चिल्ली
बफ चिल्ली कति बेला रेडी हुन्छ,बफ चिल्ली
कति बेला तयार हुन्छ बफ चिल्ली,बफ चिल्ली
कति बेला सम्म कुर्नु पर्छ बफ चिल्लीलाई,बफ चिल्ली
बफ चिल्ली छ,बफ चिल्ली
बफ चिल्ली छ कि नाई,बफ चिल्ली
बफ चिल्ली पाउछ कि नाई,बफ चिल्ली
बफ चिल्ली पाउछ कि पाउदैन,बफ चिल्ली
बफ चिल्ली बनाउन मिल्छ कि मिल्दैन,बफ चिल्ली
बफ चिल्ली बनाउन मिल्छ कि नाई,बफ चिल्ली
बफ चिल्ली सक्कियो र,बफ चिल्ली
बफ चिल्लीलाई कति हो,बफ चिल्ली
बफ चिल्लीलाई कति तिर्नु पर्नी हो,बफ चिल्ली
बफ चिल्ली कतिमा पाइन्छ,बफ चिल्ली
बफ चिल्लीलाई कति पर्न जान्छ,बफ चिल्ली
बफ चिल्ली कतिमा पाउछ होला,बफ चिल्ली
बफ चिल्लीलाइ कति पर्न जान्छ,बफ चिल्ली
कति पर्नी हो बफ चिल्लीलाइ,बफ चिल्ली
बफ चिल्लीको पैसा कति पर्छ,बफ चिल्ली
कति पैसा पर्नी हो बफ चिल्लीलाइ,बफ चिल्ली
बफ चिल्लीलाइ कति रुपैया पर्छ,बफ चिल्ली
बफ चिल्ली कति रुपैयामा आउछ,बफ चिल्ली
कति रुपैयामा हो बफ चिल्लीको,बफ चिल्ली
बफ चिल्ली बन्न कति समय लाग्छ,बफ चिल्ली
बफ चिल्ली बनाउन कति समय लाग्छ,बफ चिल्ली
कति बेला बफ चिल्ली रेडी हुन्छ,बफ चिल्ली
कति बेला सम्म कुर्न पर्नी हो हामीलाई बफ चिल्लीको लागि,बफ चिल्ली
बफ चिल्ली बनाएर कति बेला रेडी हुन्छ,बफ चिल्ली
बफ चिल्ली बनाएर कति बेला तयार हुन्छ,बफ चिल्ली
बफ चिल्लीलाई कति समय लाग्छ,बफ चिल्ली
बफ चिल्लीलाई कति कुर्नु पर्छ,बफ चिल्ली
बफ चिल्ली कति बेला तयार हुन्छ,बफ चिल्ली
बफ चिल्लीलाई कति बेला सम्म कुर्नु पर्छ,बफ चिल्ली
सुकुटी छ कि छैन,सुकुटी
सुकुटी पाउछ,सुकुटी
सुकुटी बन्छ कि नाई,सुकुटी
सुकुटी बनाउन मिल्छ,सुकुटी
सुकुटी सक्कियो कि नाई,सुकुटी
सुकुटी सक्केको हो र,सुकुटी
सुकुटी चाहिएको थियो पाउछ कि नाई,सुकुटी
सुकुटी होला,सुकुटी
कुन कुन सुकुटी छ,सुकुटी
कस्तो कस्तो सुकुटी छ,सुकुटी
कति किसिमको सुकुटी छ,सुकुटी
कति प्रकारको सुकुटी छ,सुकुटी
सुकुटी छ,सुकुटी
सुकुटी छ कि नाई,सुकुटी
सुकुटी पाउछ कि नाई,सुकुटी
सुकुटी पाउछ कि पाउदैन,सुकुटी
सुकुटी बनाउन मिल्छ कि मिल्दैन,सुकुटी
सुकुटी बनाउन मिल्छ कि नाई,सुकुटी
सुकुटी सक्कियो र,सुकुटी
सुकुटी कुन कुन छ,सुकुटी
सुकुटी कस्तो कस्तो छ र,सुकुटी
कति प्रकारको सुकुटी पाइन्छ यहाँ,सुकुटी
कति किसिमको सुकुटी पाइन्छ यहाँ,सुकुटी
सुकुटीमा कुन छ,सुकुटी
बफ सुकुटी छ कि छैन,बफ सुकुटी
बफ सुकुटी पाउछ,बफ सुकुटी
बफ सुकुटी बन्छ कि नाई,बफ सुकुटी
बफ सुकुटी बनाउन मिल्छ,बफ सुकुटी
बफ सुकुटी सक्कियो कि नाई,बफ सुकुटी
बफ सुकुटी सक्केको हो र,बफ सुकुटी
बफ सुकुटी चाहिएको थियो पाउछ कि नाई,बफ सुकुटी
बफ सुकुटी होला,बफ सुकुटी
कति पर्छ बफ सुकुटीलाई,बफ सुकुटी
कति हो बफ सुकुटीको,बफ सुकुटी
बफ सुकुटीको पैसा कति हो,बफ सुकुटी
कति समय लाग्छ बफ सुकुटी बन्न,बफ सुकुटी
कति कुर्नु पर्छ बफ सुकुटीलाई,बफ सुकुटी
बफ सुकुटी कति बेला रेडी हुन्छ,बफ सुकुटी
कति बेला तयार हुन्छ बफ सुकुटी,बफ सुकुटी
कति बेला सम्म कुर्नु पर्छ बफ सुकुटीलाई,बफ सुकुटी
बफ सुकुटी छ,बफ सुकुटी
बफ सुकुटी छ कि नाई,बफ सुकुटी
बफ सुकुटी पाउछ कि नाई,बफ सुकुटी
बफ सुकुटी पाउछ कि पाउदैन,बफ सुकुटी
बफ सुकुटी बनाउन मिल्छ कि मिल्दैन,बफ सुकुटी
बफ सुकुटी बनाउन मिल्छ कि नाई,बफ सुकुटी
बफ सुकुटी सक्कियो र,बफ सुकुटी
बफ सुकुटीलाई कति हो,बफ सुकुटी
बफ सुकुटीलाई कति तिर्नु पर्नी हो,बफ सुकुटी
बफ सुकुटी कतिमा पाइन्छ,बफ सुकुटी
बफ सुकुटीलाई कति पर्न जान्छ,बफ सुकुटी
बफ सुकुटी कतिमा पाउछ होला,बफ सुकुटी
बफ सुकुटीलाइ कति पर्न जान्छ,बफ सुकुटी
